spotify_id	spotify_artist	title	artist	release_date
006Qsi10luS9xEBAcIWGTf	R.E.M.	Automatic for the People	REM	1992
010qZDvXVmszJv4ncbEZBh	Mekons	Fear and Whiskey	The Mekons	1985
03HVo5MVOWQ4kilTtF1Czg	Dirty Dancing (Motion Picture Soundtrack)	Dirty	Sonic Youth	1992
054nNtcxsRhQ3QrKyP3Hn5	The Virgin Suicides	The Virgin Suicides	Air	2000
05WRmnR6p65KZl6o9L4ojY	Plan B	Playing with Fire	Spacemen 3	1989
05owfigVGpgPe7RKJG1hum	UB40	Very	Pet Shops Boys	1993
05wEDivrJlju67zESWvwDe	Nick Cave & The Bad Seeds	Henry's Dream	Nick Cave & the Bad Seeds	1992
07iExA8pPReAFXXIIthVsE	GZA	Liquid Swords	Genius/GZA	1995
07mJ8UjL2BzPTDBE4r0LmK	Various Artists	Blood, Sweat And Tears	Blood, Sweat And Tears	1969
08Bjvwbg1cFsFfXSdhG23I	Ice T	O.G. Original Gangster	Ice-T	1991
0Ch4YJ4XU5PTSqTdUvFra6	Midnight Scraper	It's Too Late To Stop Now	Van Morrison	1974
0DFhGsFKG7G58cke33GlAh	Captain Beefheart & His Magic Band	Safe As Milk	Captain Beefheart and His Magic Band	1967
0Io0LirRuQhO2l3OMmgfpO	Fun Lovin' Criminals	Come Find Yourself	The Fun Lovin' Criminals	1996
0MYABBSxz6JqujXq2JBvsF	Rihanna	Talk Talk Talk	Psychedelic Furs	1981
0ZgjCwfkWtS9sklI3uX69m	Odessa	Odessa	The Bee Gees	1969
0dAvbhVYW3bGnLldQ8Nvwn	Fall Out Boy	American Beauty	The Grateful Dead	1970
0gZfxGTcFe855hzcKCf2oH	Dame Emma Kirkby	The Sound of Silver	LCD Soundsystem	2007
0i1WeorUSL6fQMPiz6z8zq	The Speed Freak	Smoker's Delight	Nightmares on Wax	1995
0ihYToxMgYcuHuxOKjGQKO	Sly & The Family Stone	There's a Riot Goin' On	Sly and and The Family Stone	1971
0kT4F2mSpvTk3stwiaEStp	MC5	Kick Out The Jams	The MC5	1969
0lXoZDB0yfxncR0cyrWDmf	ABBA	The Visitors	Abba	1981
0mrP9dZLtrJtUEBuhGgVRF	Ali Farka Touré,Ry Cooder	Talking Timbuktu	Ali Farka Toure with Ry Cooder	1994
0oiS0f0gbyZBKfdoCBgutN	Dexys Midnight Runners	Too Rye-Ay	Dexy's Midnight Runners	1982
0qmHaZaoz0cadLnHb92010	Doggy Style	Doggy Style	Snoop Doggy Dogg	1993
0vAX6P1azQqgtrTWuxYWrm	R.E.M.	Murmur	REM	1983
0wdleLMeNmGUHChsmx9svt	Cee Lo Green	Cee-Lo Green Is The Soul Machine	Cee-Lo	2004
0yCWLQW2MIBCoYjKedraUV	Bee Gees	Trafalgar	The Bee Gees	1971
11m5QpqoIrWSyfFDfFEhde	Take That	III	Peter Gabriel	1980
127p4CCDi0G1PqWMptSCWy	Electronic	The Message	Grand Master Flash & the Furious Five	1982
12UO1VN1TffieQyDyzjivp	N.W.A.	Straight Outta Compton	NWA	1988
14xxjLlbGy8ACm4MorBjD5	The War On Drugs	War	U2	1983
1BdQWouNev422Pnyrse62b	Kylie Minogue	Abbey Road	The Beatles	1969
1CCxeQJh8fWHk8x8Z10CGx	Siembra	Siembra	Ruben Blades & Willie Colón	1978
1DcmsgvmP94BH8XShg74N0	Frank Sinatra,Antônio Carlos Jobim	Francis Albert Sinatra & Antonio Carlos Jobim	Francis Albert Sinatra & Antonio Carlos Jobim	1967
1ER3B6zev5JEAaqhnyyfbf	a-ha	Hunting High And Low	A-Ha	1985
1GJwrOcVkg2kCtI8RUZEdy	Eels	Beautiful Freak	The Eels	1996
1PH8cYFqIbH2F1MYxLS9iP	The Gilded Palace Of Sin	The Gilded Palace of Sin	The Flying Burrito Brothers	1969
1PdqT2EZfFkWTsN18x1SZk	Country Joe & The Fish	Electric Music For The Mind And Body	Country Joe And The Fish	1967
1QlW8jmei8HgE3C4h3TPhH	Various Artists	Water From An Ancient Well	Abdullah Ibrahim	1985
1Qo7LnY9VsqcQ75YbO8JEs	Flamin' Groovies	Teenage Head	The Flamin' Groovies	1971
1SzhKMm1H8vsm5741LGhv5	Röyksopp	Melody A.M.	Royksopp	2001
1UFBJkKiBe3Lzjr307UhuU	CHIC	Risqué	Chic	1979
1UsmQ3bpJTyK6ygoOOjG1r	OutKast	Speakerboxxx/The Love Below	Outkast	2003
1WuWBwBgL4qGTjqrKY7WDe	Small Faces	Ogden's Nut Gone Flake	The Small Faces	1968
1acyPhtQplTHBiBNPI6d4t	Lord Gerald Hugh Tyrwhitt-Wilson Berners	Cupid and Psyche	Scritti Politti	1985
1fi3IyodfojWTth7DhDQ6d	Manic Street Preachers	Everything Must Go	The Manic Street Preachers	1996
1gj5a71BBvTNutJv7v4WcL	Gabriel Josse	All Things Must Pass	George Harrison	1970
1kRLTjRRHzD1bXik3xr8Y7	Tom Dole	The Tom Tom Club	The Tom Tom Club	1981
1mTzTLuErrm74fSBcgEFkY	Sesame Street	Street Signs	Ozomatli	2004
1nj2Tvse0XTmAZg63pVkkP	TV On The Radio	Dear Science	TV on the Radio	2008
1rv1c650hj19F5kvvqhyt8	The Staves	Live/Dead	The Grateful Dead	1970
1vtsYpapUeoDNMJOWRql9b	The Jesus And Mary Chain	Darklands	The Jesus & Mary Chain	1987
1wqUTW08fW7Idb0QmbK2E1	Tove Lo	Truth	Jeff Beck Group	1968
1xF1nKu3UL84l7CofB4QBV	Bryan Adams	Today!	The Beach Boys	1965
1yBoaVrgcup2hX2DCYUajs	Dr. John	Gris Gris	Dr John	1969
215g9jBzdRufNn0uFN1VZN	PJ Harvey	Rid Of Me	P.J. Harvey	1993
22v70dJq6kWS32SkR2c7kd	JAY Z	The Blueprint	Jay-Z	2001
23vvbZr2ZDlJNZftFAkCqO	M.I.A.	Kala	MIA	2007
244zFqV0oJvOTaC714IVvc	Les Rythmes Digitales	Darkdancer	Les Rhythmes Digitales	1999
254QirZtTitjM1j3OfCstk	Johnny Reid	A Christmas Gift To You	Phil Spector	1963
2AgTKAULjbHpqqtyI53hdp	Pete Rock & C.L. Smooth	Rock & Soul	Solomon Burke	1964
2KSmpFuIe2nOYYVgA7oa9o	CHIC	C'est Chic	Chic Manish	1977
2KaCTff6b1JhQ6hH9VXOek	Delilah	Roots	Sepultura	1996
2QVQ9jDMP7FTYMnIhcC4gk	[500] Days Of Summer - Music From The Motion Picture	Music	Madonna	2000
2Satx8ApIB0VZuFCT4nv92	Fuzion	Midnight Ride	Paul Revere and the Raiders	1966
2TXvjVOhfNjAYpRpODqmVb	Jah Wobble's Invaders Of The Heart	Rising Above Bedlam	Jah Wobble And the Invaders of the Heart	1991
2V6NgriUw7DSFLceZjp0xM	Aimee Mann	Aimee Mann	Whatever	1993
2aGFVLz0oQPa3uxCfq9lcU	Booker T. & The MG's	Green Onions	Booker T & The MGs	1962
2axpqE4HpSTchcaG8rmMjN	Tomasz Trzcinski	The Köln Concert	Keith Jarrett	1975
2fGCAYUMssLKiUAoNdxGLx	Radiohead	OK	Talvin Singh	1998
2fUrnjG4BPBH52aEAv1XyA	Jean Michel Jarre	Oxygene	Jean Michel-Jarre	1977
2gToC0XAblE9h3UZD6aAaQ	Third Eye Blind	Third	Soft Machine	1970
2i9yRd6N1anCiwz84tSfHQ	MercyMe	The Healer	John Lee Hooker	1989
2l7RPWC3E6eStJJLBsUeCI	Pixies	Surfer Rosa	The Pixies	1988
2rogKfOpmCFuqNhtGKf2dX	Big Brother & The Holding Company	Cheap Thrills	Big Brother and the Holding Company	1968
2thaV3YkqjK7f2AL8LC4xF	Dire Straits	Movies	Holger Czukay	1979
2tm3Ht61kqqRZtIYsBjxEj	OutKast	Stankonia	Outkast	2000
2ulswu5BgwO54CYfi8vxLq	James Moody	The World Is A Ghetto	War	1972
2wa0kOg4mJ94Iw17Gcv4IL	Roni Size	New Forms	Roni Size/Reprazent	1997
2widuo17g5CEC66IbzveRu	Eagles	Hotel California	The Eagles	1976
2yc1PPfJQ9waDBs8RW7mJ4	New York Dolls	A Hard Day's Night	The Beatles	1964
32RPBIthlaFGpOjf5t9FS7	The Disposable Heroes Of Hiphoprisy	Hiphoprisy Is The Greatest Luxury	Disposable Heroes of Hiphoprisy	1992
372smdctC8hNczUfZG8phL	Penguin Cafe Orchestra	Music From The Penguin Cafe Orchestra	The Penguin Cafe Orchestra	1977
3C4CCMktc1Ta1Eho6G1yat	Doug Ashdown	Winter in America	Gill Scott-Heron	1974
3CAOILbzAIZlpb1JQt1Hnu	Galantis	Dust	Screaming Trees	1996
3Dg3quPRLDCsEqnzgPl6PE	T. Rex	The Slider	T Rex	1972
3E4uXYCH0PZLwV5yzOiOdk	Hans Zimmer	Nixon	Lambchop	2000
3GwfdWanQsinzmOy0DNgr1	Silver Mt Zion	Kollaps	Einsturzende	1981
3JKAjWc4Np8JZz1UAGu6HM	Victorious Cast	Freak Out!	Frank Zappa and the Mothers of Invention	1966
3LmuqVn5M4Hs8PHVqWa0Fz	Spyro Gyro	Bright Flight	Silver Jews	2001
3Mqfc88llbmxwP6wunfMbW	Porcupine Tree	Porcupine	Echo & The Bunnymen	1983
3OXebYlOAN3lKCCnSqGfgT	The Chronic	The Chronic	Dr Dre	1993
3QZ8ovosQKJnl7ajHqqIva	The Bennies	In Rainbows	Radiohead	2007
3R6aIbq0UGfht1x0rck5Tn	Ms. Dynamite	A Little Deeper	Ms Dynamite	2002
3T1fgMprST5C4hhl19Xv40	Jamie Foxx	Night Life	Ray Price	1963
3U9gbmxUQFZ4XqlDxRIhE5	Gardens of God	Ys	Joanna Newsom	2006
3VlXikTbyLpXQILsZIGNDj	Paul Thorn	What's Goin' On	Marvin Gaye	1971
3Vp5uEx8koFke8NyfElrlD	B.B. King	Live At The Regal	BB King	1965
3Wqa5okQnEdBdDufivaagT	The Clinton Administration	One Nation Under A Groove	Funkadelic	1978
3YhDDt3zXIlzH5jVjP8Qo0	Oscar Peterson	George Gershwin Songbook	Ella Fitzgerald	1959
3eyyjfmfVM0N8Yhvaigx1h	Bobby Williams	Superfly	Curtis Mayfield	1972
3md6pM7GoNvwOlwlHTzvvs	Astor Piazzolla	Astor Piazzolla	The New Tango (with Gary Burton)	1987
3mvdHEE56sgj1NtTnTF8qK	Faces	A Nod's As Good As Wink	The Faces	1971
3obQJSWpREwvi19TTAvM5v	James Blunt	Lost Souls	The Doves	2000
3u1f0ziKFCkqcHUQ0AldCU	Frank Zappa,The Mothers	We're Only in it for the Money	The Mothers of Invention	1967
3vCMmrJEx8CBtW4Hh0ehdl	Richard Thompson,Linda Thompson,Richard And Linda Thompson	I Want To See The Bright Lights Tonight	Richard & Linda Thompson	1974
3wwVeu5LWboJpDTysWxuLy	Will Taylor & Strings Attached	The Beatles (White Album)	The Beatles	1968
3xXsJL1bNBWU1jbQDxLJdf	Incredible Bongo Band	Bongo Rock	Michael Viner's Incredible Bongo Band	1973
427BvOYZQRjTHODnreiZCo	Stephen Stills	Stephen Stills	Manassas	1973
4306vzbeTtNiVLHYUVm9Dk	Pandi Shiv Kumar Sharma,Hariprasad Chaurasia,Brij Bhusan Kabra	The Call of the Valley	Shivkumar Sharma/Brijbushan Kabra/Hariprasad Chaurasia	1968
43jEYhOEU6eWL51lk4l3M7	Echo And The Bunnymen	Ocean Rain	Echo & The Bunnymen	1984
44aVVevMGKS4q6nWXbELpP	Echo And The Bunnymen	Crocodiles	Echo & The Bunnymen	1980
459tNoDnuv0bL9ue9pENVz	Everything But The Girl	Walking Wounded	Everything But the Girl	1996
49FwsZq64UotAHB0CXGR1N	T-Pain	Revolver	The Beatles	1966
4BCOTedCJnyfAlXgEXOq4F	Dry the River	Dry	P.J. Harvey	1992
4D0lc9yhyvobjPQJCB1EY3	Ella Fitzgerald	Live at Mister Kelly's	Sarah Vaughan	1958
4EcVVeYCeafIQk383MQfp5	Ben Howard	I	Peter Gabriel	1977
4HihJAJjF6hSVoh318zLu9	Doves	The Last Broadcast	The Doves	2002
4LGnEKDDNjLuz2QQLcntON	Tough Love	So	Peter Gabriel	1986
4NGWe17wxoQvF0an1ps49l	The Jesus And Mary Chain	Psychocandy	The Jesus & Mary Chain	1985
4Nro0nGcWVybv8cZXmSU4P	The Everly Brothers	A Date with the Everly Brothers	The Everly Bothers	1960
4Q7MewJ0yF53mYbYc2hDsY	Reptoids	Slayed?	Slade	1972
4SXVG1SPGjA5ofm3CQsPnc	D.O.A.	DOA	Throbbing Gristle	1978
4Y5yN7tJSqBNwlAQ7n976y	SULK	Sulk	The Associates	1982
4c0cK1sH5z7HQq8SN4wbdE	Dream Theater	Larks Tongues In Aspic	King Crimson	1973
4dhhUft83smhz1wOtCbDi4	T.C. and Jordan	Born to be With You	Dion	1975
4ij84pOJd9kY2uNdT2dOH1	Nick Cave & The Bad Seeds	The Boatman's Call	Nick Cave and the Bad Seeds	1997
4lyIaiFwruh2OrQ6NOfTXP	Lanny Cordola	The Trinity Sessions	Cowboy Junkies	1988
4pox3k0CGuwwAknR9GtcoX	Cyndi Lauper	She's So Unusual	Cindy Lauper	1984
4qUKzyXuy3GSzQD5RTJLdq	Death In Vegas	The Contino Sessions	Death in Vegas	1999
4rezpGly476QPhbmG2SITq	Suba	Suba	Sao Paulo Tales	1999
4tHNFM2544qzsLlfWJ7yWD	Train	California	American Music Club	1988
4vG8HRbNiijPyQyRIigWba	Idlewild	Idlewild	Everything But the Girl	1988
4yaypP8ytl2ghM2kiNSD8a	Tears For Fears	Songs from the Big Chair	Tears for Fears	1985
50V8pauVWUDGuZ80Y5Waoy	Colton Parrott	After The Goldrush	Neil Young	1970
5ASoLiKB7ffqusD9X9wQlS	2Pac	Me Against the World	Tupac Shakur	1994
5SUqb3XY2BmvfAFLTjnBs0	fIREHOSE	Fromohio	Firehose	1989
5WDwQd1NNzitecaWN7BoUB	Paul McCartney,Wings	Band On The Run	Paul McCartney & Wings	1973
5WfCCrHv2V7TkrOi9Ke1OE	Various Artists	Fun House	Iggy Pop & The Stooges	1970
5Y650Yc7RO8DhNiC6QvkFa	Blaas of Glory	Highway to Hell	AC/DC	1979
5YXdaFaKNCVX9hXpXqjwXz	The Mamas & The Papas	Mamas And The Papas	Mamas And The Papas	1966
5bJIwv7O1B8ANCjAA0AC19	Glowbug	Headhunters	Herbie Hancock	1974
5dN7F9DV0Qg1XRdIgW8rke	Green Day	Green	REM	1989
5g59vOseYK3cI40RvTRG9v	Dj Kot	Pyromania	Def Leppard	1983
5kZ3kjWkOnp1JU4MWbmNnI	George The Poet	The Poet	Bobbie Womack	1981
5p7LZlOPMvScCXw5M77xyV	Stan Getz,João Gilberto	Getz/Gilberto	Stan Getz/Joao Gilberto	1964
5plT68KZ21QfY9FI64tYEl	KISS	Destroyer	Kiss	1976
5tuUAXD8S0QVhPW7M2aQb0	Ian Dury	New Boots & Panties	Ian Dury & the Blockheads	1977
5utgKVQyZ7cvQ22Ib2tBLZ	ReaniMashup	Atomizer	Big Black	1986
5xxVbzbVOODEVq9qwhhtoe	Los Angeles Guitar Quartet	Led Zeppelin I	Led Zeppelin	1969
5z090LQztiqh13wYspQvKQ	Jimi Hendrix	Electric	The Cult	1987
5z090LQztiqh13wYspQvKQ	Jimi Hendrix	Electric Ladyland	The Jimi Hendrix Experience	1968
5z8MFnoVUIfVo6MQW0uIul	Carpenters	Close To You	The Carpenters	1970
60cRh5MCFNOrFeQykKnDej	Pixies	Bossanova	The Pixies	1990
69Jzv3RB25sxZ7kmE1MeUL	Jonathan Thulin	The White Room	KLF	1990
6GJl4impgRmt2MY5CY5BbW	The Heavy	Dirt	Alice in Chains	1992
6JYmEWuML40SulUwHGxupV	Alkaline Trio	Trio	Emmylou Harris, Lisa Rondstadt, Dolly Parton	1987
6K6iycuUPM1HT5sxnwp6Ek	G. Love & Special Sauce	G Love & Special Sauce	G Love & Special Sauce	1994
6OlIbU9i7OaBrBqx7ZYAFS	Next	Next	The Sensational Alex Harvey Band	1973
6QDLJorX8HQ2ogxZUCvtd1	Various Artists	Logical Progression	LTJ Bukem	1996
6TLTd0P2CUI0Q29AQ1LyFi	Tom Petty And The Heartbreakers	Tom Petty & the Heartbreakers	Tom Petty & the Heartbreakers	1977
6TrlS4jRRt83HYjUKHcNMd	Mj Cole	Sincere	MJ Cole	2000
6UwY58EMdtAdf0eBO0Comj	Football Pepper	Sgt Pepper's Lonely Hearts Club Band	The Beatles	1967
6VNuZLF98tsRYgqlIXAVCD	Tori Amos	tori amos	The Adverts	1978
