spotify_id	title	artist	release_date
	16 Lover's Lane	Go-Betweens	1988
	3+3	The Isley Bros	1973
	A Christmas Gift To You	Phil Spector	1963
	A Date with the Everly Brothers	The Everly Bothers	1960
	A Hard Day's Night	The Beatles	1964
	A Little Deeper	Ms Dynamite	2002
	A Nod's As Good As Wink	The Faces	1971
	A Vulgar Display Of Power	Pantera	1992
	Abattoir Blues/The Lyre Of Orpheus	Nick Cave And The Bad Seeds	2004
	Abbey Road	The Beatles	1969
	After The Goldrush	Neil Young	1970
	Agaetis Byrjun	Sigur Ros	1999
	Aimee Mann	Whatever	1993
	All Hail the Queen	Queen Latifah	1989
	All Things Must Pass	George Harrison	1970
	Ambient no.1: Music for Airports	Brian Eno	1978
	American Beauty	The Grateful Dead	1970
	American Gothic	David Ackles	1972
	Apple Venus Vol. 1	XTC	1999
	Architecture & Morality	OMD	1983
	Are You Experienced?	The Jimi Hendrix Experience	1967
	Aretha: Lady Soul	Aretha Franklin	1968
	Arrival	Abba	1976
	Astor Piazzolla	The New Tango (with Gary Burton)	1987
	Atomizer	Big Black	1986
	Automatic for the People	REM	1992
	Axis: Bold As Love	The Jimi Hendrix Experience	1967
	Back in Black	AC/DC	1980
	Band On The Run	Paul McCartney & Wings	1973
	Beautiful Freak	The Eels	1996
	Berlin	Lou Reed	1973
	Blood, Sweat And Tears	Blood, Sweat And Tears	1969
	Bluesbreakers with Eric Clapton	John Mayall's Bluesbreakers	1966
	Bongo Rock	Michael Viner's Incredible Bongo Band	1973
	Born to be With You	Dion	1975
	Bossanova	The Pixies	1990
	Bright Flight	Silver Jews	2001
	Bryter Later	Nick Drake	1970
	Buenos Noches from a Lonely Room	Dwight Yoakam	1988
	C'est Chic	Chic Manish	1977
	California	American Music Club	1988
	Cee-Lo Green Is The Soul Machine	Cee-Lo	2004
	Cheap Thrills	Big Brother and the Holding Company	1968
	Close To You	The Carpenters	1970
	Cole's Cornes	Richard Hawley	2005
	Come Find Yourself	The Fun Lovin' Criminals	1996
	Crocodiles	Echo & The Bunnymen	1980
	Crosby, Stills And Nash	Crosby, Stills And Nash	1969
	Cupid and Psyche	Scritti Politti	1985
	DOA	Throbbing Gristle	1978
	Darkdancer	Les Rhythmes Digitales	1999
	Darklands	The Jesus & Mary Chain	1987
	De-loused at the Crematorium	The Mars Volta	2003
	Dear Science	TV on the Radio	2008
	Destroyer	Kiss	1976
	Devotional Songs	Nusrat Fateh Ali Khan & Party	1992
	Dirt	Alice in Chains	1992
	Dirty	Sonic Youth	1992
	Djam Leeli	Baaba Maal & Mansour Seck	1989
	Document	REM	1987
	Doggy Style	Snoop Doggy Dogg	1993
	Don't Stand Me Down	Dexys Midnight Runners	1985
	Doolittle	The Pixies	1989
	Dr Octagonecologyst	Dr Octagon	1996
	Dry	P.J. Harvey	1992
	Dub Housing	Pere Ubu	1978
	Duck Stab/Buster & Glen	The Residents	1978
	Dust	Screaming Trees	1996
	Electric	The Cult	1987
	Electric Ladyland	The Jimi Hendrix Experience	1968
	Electric Music For The Mind And Body	Country Joe And The Fish	1967
	Electric Warrior	T Rex	1971
	Ellington at Newport '56	Duke Ellington	1956
	Everything Must Go	The Manic Street Preachers	1996
	Fear and Whiskey	The Mekons	1985
	Floodland	Sisters of Mercy	1987
	Food & Liqour	Lupe Fiasco	2006
	Francis Albert Sinatra & Antonio Carlos Jobim	Francis Albert Sinatra & Antonio Carlos Jobim	1967
	Freak Out!	Frank Zappa and the Mothers of Invention	1966
	Fresh Fruit for Rotting Vegetables	Dead Kennedys	1980
	Fromohio	Firehose	1989
