spotify_id	title	artist	release_date
	All Hail the Queen	Queen Latifah	1989
	Apple Venus Vol. 1	XTC	1999

	De-loused at the Crematorium	The Mars Volta	2003
	Djam Leeli	Baaba Maal & Mansour Seck	1989
	Don't Stand Me Down	Dexys Midnight Runners	1985
	Dr Octagonecologyst	Dr Octagon	1996
	Dub Housing	Pere Ubu	1978
	Duck Stab/Buster & Glen	The Residents	1978
	Ellington at Newport '56	Duke Ellington	1956
	Food & Liqour	Lupe Fiasco	2006
	Fresh Fruit for Rotting Vegetables	Dead Kennedys	1980
	Fullfillingness' First Finale	Stevie Wonder	1974
	Grevious Angel	Gram Parsons	1973
	Hejeira	Joni Mitchell	1976
	Honky Tonk Masquarade	Joe Ely	1978
	I Never Loved a Man the Way That I Love You	Aretha Franklin	1967
	In The Court of the Crimson King	King Crimson	1969
	Lam Toro	Baaba Maal	1992
	Last fo the True Believers	Nanci Griffith	1986
	Layla And Other Assorted Lovesongs	Derek And The Dominos	1970
	Led Zeppelin IV (Four Symbols)	Led Zeppelin	1971
	Live At The Harlem Square Club	Sam Cooke	1963
	Meat Puppets II	Meat Puppets	1983
	Metal Box/Second Edition	Public Image	1979
	Modern Sounds In Country And Western Music	Ray Charles	1962
	Orbital II	Orbital	1993
	People's Instinctive Paths	A Tribe Called Quest	1990
	Planet Rock: The Album	Afrika Bambaataa	1986
	Pronounced Leh-nerd Skin-nerd	Lynyrd Skynyrd	1973
	Qui Seme Le Vent Recolte Le Tempo	MC Solar	1993
	Red Dirt Girl	Emmylou Harris	2000
	Redheaded Stranger	Willie Nelson	1975
	Regatta De Blanc	The Police	1979
	Rhythm Nation 1814	Janet Jackson	1989
	Schleep	Robert Wyatt	1997
	Seldom See Kid	Elbow	2008
	Selected Ambient Works '85–'92	Aphex Twin	1992
	Shalimar / College Girl	R.D.Burman / Bappi Lahiri	1975
	Sometimes I Wish I Were an Eagle	Bill Callahan	2009
	Tank Battles	Dagmar Krause	1988
	There's No Place Like America Today	Curtis Mayfield	1975
	Three Feet High and Rising	De La Soul	1989
	Time (The Revelator)	Gillian Welch	2001
	Trout Mask Replica	Captain Beefheart and His Magic Band	1969
	Twelve Dreams of Doctor Sardonicus	Spirit	1970
	Venus Luxure No1 Baby	Girls Against Boys	1993
	Warehouse: Songs & Stories	Hüsker Dü	1987
	Welcome to the Aftterfuture	Mike Ladd	2000
	nnervisions	Stevie Wonder	1973
